index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
324,c1ccc2c(c1)=c1ccccc1=2,152.19600000000005,375.266,374.297,584.248,840.198,36.5612,394.84,1.198,281.397,159.5,66.4,16.973,0.127,5872.94,38.588,336.526,c1ccc2c(c1)=c1ccccc1=2 at 298K
325,c1ccc(-c2ccccc2)cc1,154.21200000000007,378.645,298.552,537.549,790.258,39.4585,542.94,1.008,281.055,180.68,64.125,13.774,0.153,6135.95,39.789,338.93,c1ccc(-c2ccccc2)cc1 at 298K
326,c1ccc(C2CCCCC2)cc1,160.26000000000013,370.426,266.933,515.459,744.003,28.9881,546.82,0.96,189.298,-16.7,60.624,12.033,0.167,6664.06,41.583,338.723,c1ccc(C2CCCCC2)cc1 at 298K
327,c1ccc2c(c1)CCCC2,132.206,297.831,285.311,489.973,724.05,36.3854,397.1,1.049,183.099,15.74,50.158,11.535,0.126,5421.82,41.01,338.33,c1ccc2c(c1)CCCC2 at 298K
328,c1ccc(CCc2ccccc2)cc1,182.2660000000001,402.04,259.817,553.111,779.968,26.3774,616.01,1.048,295.709,143.0,69.397,30.502,0.174,7372.95,40.452,339.065,c1ccc(CCc2ccccc2)cc1 at 298K
329,c1ccc(CCCC2CCCC2)cc1,188.31400000000016,376.453,216.462,526.856,735.281,22.3228,665.94,0.942,212.964,-40.246,68.886,18.249,0.2,7915.194,42.032,339.182,c1ccc(CCCC2CCCC2)cc1 at 298K
330,C1CCC(C2CCCCC2)CC1,166.3080000000002,347.15,267.152,505.02,717.987,25.4824,579.66,0.904,97.765,-354.535,57.123,10.377,0.184,7051.715,42.402,335.224,C1CCC(C2CCCCC2)CC1 at 298K
331,C1CCC(CCC2CCCCC2)CC1,194.36200000000022,379.414,247.198,534.289,722.83,20.1069,693.64,0.879,131.343,-238.53,66.151,15.278,0.221,8442.4,43.436,338.981,C1CCC(CCC2CCCCC2)CC1 at 298K
332,C1CCC2CCCC2C1,124.2269999999999,310.834,222.801,441.817,665.307,33.4257,442.1,0.913,71.673,-146.434,42.771,7.401,0.136,5347.796,43.049,338.491,C1CCC2CCCC2C1 at 298K
333,C1CC12CC2,68.11899999999999,182.357,145.727,243.906,527.23,44.026,248.79,0.896,67.779,83.239,28.48,4.983,0.076,3028.109,44.453,346.377,C1CC12CC2 at 298K
334,c1ccc(Cc2ccccc2)cc1,168.2390000000001,400.688,277.01,539.866,775.141,30.0434,549.25,1.039,288.287,161.976,66.761,15.754,0.162,6754.586,40.149,339.008,c1ccc(Cc2ccccc2)cc1 at 298K
335,C(=C/c1ccccc1)\c1ccccc1,180.25000000000009,408.233,327.844,571.429,801.995,27.4347,601.5,1.099,366.255,244.65,57.766,27.318,0.164,7232.77,40.126,339.974,C(=C/c1ccccc1)\c1ccccc1 at 298K
336,C(=C/c1ccco1)\c1ccco1,160.17200000000005,333.376,284.513,489.616,765.448,33.5805,420.49,1.381,286.558,247.343,41.376,21.542,0.116,,,,C(=C/c1ccco1)\c1ccco1 at 298K
337,c1coc(Cc2ccco2)c1,148.16100000000006,325.83,210.531,444.305,732.027,37.1416,368.24,1.3,208.591,164.668,50.371,9.977,0.114,,,,c1coc(Cc2ccco2)c1 at 298K
338,O=C(c1ccccc1)c1ccccc1,182.22200000000007,439.977,322.732,574.822,815.883,32.705,542.4,1.191,164.832,59.0,80.615,17.633,0.153,,,,O=C(c1ccccc1)c1ccccc1 at 298K
339,O=C(Cc1ccccc1)c1ccccc1,196.24900000000008,435.254,311.828,579.143,794.843,27.3775,625.62,1.115,171.879,23.085,83.252,19.812,0.176,,,,O=C(Cc1ccccc1)c1ccccc1 at 298K
340,O=C(c1ccccc1)c1ccco1,172.18300000000005,402.548,301.911,537.875,799.862,36.4292,451.9,1.335,124.983,60.346,72.42,14.745,0.129,,,,O=C(c1ccccc1)c1ccco1 at 298K
341,O=C(C1=CC=CC1)c1ccccc1,170.21100000000007,395.013,316.06,543.877,766.62,32.0797,529.4,1.252,175.606,44.153,70.847,15.956,0.136,,,,O=C(C1=CC=CC1)c1ccccc1 at 298K
342,O=C(C(=O)c1ccccc1)c1ccccc1,210.23200000000006,483.914,376.664,604.905,832.085,28.1357,629.17,1.208,48.09,-94.628,97.106,21.808,0.174,,,,O=C(C(=O)c1ccccc1)c1ccccc1 at 298K
343,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.3279999999998,668.808,457.935,707.445,938.999,31.1229,816.62,0.847,-153.45,-144.279,173.722,53.683,0.376,,,,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21 at 298K
344,O=C(CCC(=O)c1ccccc1)c1ccccc1,238.2860000000001,506.736,342.776,627.717,844.541,22.9671,742.83,1.151,64.466,-129.15,106.709,27.029,0.207,,,,O=C(CCC(=O)c1ccccc1)c1ccccc1 at 298K
345,O=C(c1ccccc1)C1CCCCC1,188.27000000000012,414.364,234.408,569.88,776.155,27.0099,604.42,1.095,72.927,-224.581,80.371,16.051,0.172,,,,O=C(c1ccccc1)C1CCCCC1 at 298K
346,O=C(Nc1ccccc1)c1ccccc1,197.23700000000005,366.602,392.97,638.85,739.974,38.4397,490.55,1.419,244.343,126.719,57.766,29.57,0.139,,,,O=C(Nc1ccccc1)c1ccccc1 at 298K
347,O=C(Nc1ccccc1)Nc1ccccc1,212.25200000000007,366.602,504.49,535.14,739.974,38.4397,490.55,1.527,244.343,126.719,57.766,34.58,0.139,,,,O=C(Nc1ccccc1)Nc1ccccc1 at 298K
348,O=C(c1ccccc1)N1CCCCC1,189.25800000000012,333.401,386.949,484.572,655.901,33.6583,484.57,1.245,151.768,-65.755,49.37,10.874,0.152,,,,O=C(c1ccccc1)N1CCCCC1 at 298K
349,c1ccc2c(c1)sc1ccccc12,184.26300000000003,390.91,370.313,598.635,884.66,24.5351,467.68,1.159,320.685,259.452,82.957,21.512,0.159,,,,c1ccc2c(c1)sc1ccccc12 at 298K
350,c1ccc(Sc2ccccc2)cc1,186.27900000000005,366.602,310.529,569.142,812.418,34.3708,490.55,1.089,244.343,126.719,57.766,13.405,0.171,,,,c1ccc(Sc2ccccc2)cc1 at 298K
351,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,326.2879999999998,496.836,318.871,621.411,834.174,29.4927,740.23,1.222,380.565,-757.3,84.612,29.551,0.267,,,,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1 at 298K
352,O=S(=O)(c1ccccc1)c1ccccc1,218.27700000000004,366.602,373.559,513.983,739.974,38.4397,610.51,1.57,-62.108,-219.063,57.766,16.69,0.139,,,,O=S(=O)(c1ccccc1)c1ccccc1 at 298K
353,C/C=C\C1Cc2cccnc2N1,160.2200000000001,401.155,387.584,548.23,799.487,28.4358,471.92,0.965,379.706,190.709,79.891,26.308,0.166,,,,C/C=C\C1Cc2cccnc2N1 at 298K
354,c1ccc2c(c1)[nH]c1ccccc12,167.21100000000007,390.91,363.205,569.644,838.783,20.2514,459.62,1.194,285.277,208.824,69.793,17.784,0.14,,,,c1ccc2c(c1)[nH]c1ccccc12 at 298K
355,c1ccc(Nc2ccccc2)cc1,169.2270000000001,426.001,324.757,569.935,820.621,31.7916,549.5,1.092,355.184,208.925,73.514,16.152,0.155,,,,c1ccc(Nc2ccccc2)cc1 at 298K
356,c1ccc(-c2cc[nH]n2)cc1,144.17700000000008,389.433,257.495,495.238,791.808,49.7852,402.0,1.243,306.061,232.406,63.635,13.882,0.116,,,,c1ccc(-c2cc[nH]n2)cc1 at 298K
357,C1=CC(c2ccccc2)=NC1,143.18900000000008,317.978,320.059,592.368,710.755,42.0537,396.86,1.193,228.562,165.827,48.409,8.188,0.12,,,,C1=CC(c2ccccc2)=NC1 at 298K
358,c1ccc2ocnc2c1,119.12299999999996,330.896,343.647,458.918,770.559,51.5125,261.03,1.018,249.762,210.027,54.317,13.656,0.117,,,,c1ccc2ocnc2c1 at 298K
359,C1=Nc2ccccc2C1,117.15099999999994,243.946,366.063,581.034,780.552,34.0117,256.06,0.908,156.887,148.95,52.486,12.498,0.129,,,,C1=Nc2ccccc2C1 at 298K
360,c1ccc2oncc2c1,119.12299999999996,338.718,317.388,468.383,759.942,51.2917,293.42,1.203,250.435,260.398,56.013,13.912,0.099,,,,c1ccc2oncc2c1 at 298K
361,C1=NCc2ccccc21,117.15099999999994,243.946,353.131,590.359,780.552,34.0117,256.06,1.137,156.887,176.894,52.486,12.712,0.103,,,,C1=NCc2ccccc21 at 298K
362,c1ccc(COc2ccccc2)cc1,184.23800000000008,364.21,301.644,549.125,751.782,29.1758,560.83,1.137,184.975,47.566,74.43,17.902,0.162,,,,c1ccc(COc2ccccc2)cc1 at 298K
363,c1ccc(Oc2ccccc2)cc1,170.21100000000007,368.933,282.83,540.093,766.806,30.8818,503.0,1.142,175.016,52.0,71.793,7.963,0.149,,,,c1ccc(Oc2ccccc2)cc1 at 298K
364,c1ccc(COCc2ccccc2)cc1,198.2650000000001,377.785,276.63,571.142,777.002,25.5338,633.99,1.06,190.165,19.3,69.397,20.347,0.187,,,,c1ccc(COCc2ccccc2)cc1 at 298K
365,c1ccc2c(c1)CCO2,120.15099999999994,292.966,294.597,473.729,756.076,50.3512,308.37,1.167,42.256,-66.624,50.586,12.781,0.103,,,,c1ccc2c(c1)CCO2 at 298K
366,c1ccc2ocnc2c1,119.12299999999996,330.896,343.647,458.918,770.559,51.5125,261.03,1.018,249.762,210.027,54.317,13.656,0.117,,,,c1ccc2ocnc2c1 at 298K
367,c1ccc2ccccc2c1,128.17399999999995,353.145,296.035,510.61,738.167,39.3597,450.52,0.964,225.993,163.895,58.199,13.698,0.133,5086.315,39.683,339.025,c1ccc2ccccc2c1 at 298K
368,Cc1cccc2ccccc12,142.20100000000008,354.63,321.036,530.672,778.014,35.9083,439.34,1.102,220.75,91.668,55.793,15.225,0.129,5651.428,39.743,337.512,Cc1cccc2ccccc12 at 298K
369,Cc1ccc2ccc(C)cc2c1,156.2280000000001,379.736,328.527,539.558,777.174,31.6491,514.55,0.935,216.955,78.6,60.599,17.001,0.167,6275.7,40.17,337.881,Cc1ccc2ccc(C)cc2c1 at 298K
370,Cc1cc2ccccc2cc1C,156.2280000000001,386.842,343.199,548.725,835.67,30.8135,495.03,1.014,216.794,53.847,60.599,19.324,0.154,6250.947,40.012,337.216,Cc1cc2ccccc2cc1C at 298K
371,Cc1ccc(C)c2ccccc12,156.2280000000001,386.842,331.706,542.445,783.074,30.8135,495.03,1.014,216.794,53.847,65.849,16.436,0.154,6250.947,40.012,337.216,Cc1ccc(C)c2ccccc12 at 298K
372,Cc1ccc2ccccc2c1C,156.2280000000001,386.842,321.501,547.695,783.074,30.8135,495.03,1.014,216.794,53.847,60.599,16.913,0.154,6250.947,40.012,337.216,Cc1ccc2ccccc2c1C at 298K
373,Cc1cc(C)c2ccccc2c1,156.2280000000001,386.842,353.354,543.84,838.555,30.8135,495.03,1.014,216.794,53.847,65.659,16.913,0.154,6250.947,40.012,337.216,Cc1cc(C)c2ccccc2c1 at 298K
374,C1=Cc2cccc3cccc(c23)C1,166.22300000000007,353.947,356.542,574.155,808.811,33.2337,468.07,1.146,329.241,197.658,69.251,15.809,0.145,6548.438,39.395,338.3,C1=Cc2cccc3cccc(c23)C1 at 298K
375,c1cc2ccc3cccc4ccc(c1)c2c34,202.25600000000006,450.459,418.158,654.761,937.015,24.73,659.88,1.348,331.448,223.71,81.133,15.409,0.15,7761.02,38.372,336.291,c1cc2ccc3cccc4ccc(c1)c2c34 at 298K
376,c1ccc2cc3ccccc3cc2c1,178.23400000000007,412.694,378.684,614.009,884.245,28.9259,488.74,1.165,329.672,193.491,74.595,29.153,0.153,6939.781,38.936,337.236,c1ccc2cc3ccccc3cc2c1 at 298K
377,Cc1c2ccccc2cc2ccccc12,192.26100000000008,437.365,395.027,628.332,859.99,29.1444,539.99,1.138,317.319,167.014,77.492,21.511,0.169,7550.644,39.273,337.269,Cc1c2ccccc2cc2ccccc12 at 298K
378,Cc1c2ccccc2c(C)c2ccccc12,206.2880000000001,462.035,376.382,635.311,866.592,26.0562,594.64,1.103,313.393,138.345,80.388,23.161,0.187,8159.315,39.553,337.25,Cc1c2ccccc2c(C)c2ccccc12 at 298K
379,c1ccc2c(c1)ccc1ccccc12,178.23400000000007,412.694,387.879,615.44,879.475,30.7794,489.0,1.311,297.604,150.214,72.067,15.827,0.136,6896.504,38.694,336.187,c1ccc2c(c1)ccc1ccccc12 at 298K
380,c1cc2ccc3cccc4ccc(c1)c2c34,202.25600000000006,450.459,418.158,654.761,937.015,24.73,659.88,1.348,331.448,223.71,81.133,15.409,0.15,7761.02,38.372,336.291,c1cc2ccc3cccc4ccc(c1)c2c34 at 298K
381,Cc1c(C)c2ccccc2c2ccccc12,206.2880000000001,462.035,391.576,635.311,866.592,26.0562,594.64,1.103,313.393,92.96,80.388,23.161,0.187,8113.93,39.333,336.31,Cc1c(C)c2ccccc2c2ccccc12 at 298K
382,c1ccc2ncccc2c1,129.16199999999998,374.262,320.784,520.349,772.822,46.8368,412.57,1.123,293.224,208.534,66.414,10.912,0.115,,,,c1ccc2ncccc2c1 at 298K
383,c1ccc2cnccc2c1,129.16199999999998,383.969,319.311,513.992,794.27,49.2978,435.18,1.042,291.129,230.827,61.94,12.393,0.124,,,,c1ccc2cnccc2c1 at 298K
384,c1ccc2nc3ccccc3cc2c1,179.22200000000007,443.518,396.783,624.821,862.569,36.3416,477.8,1.179,386.05,247.645,82.301,22.844,0.152,,,,c1ccc2nc3ccccc3cc2c1 at 298K
385,Cc1cccc2nc3ccccc3cc12,193.24900000000008,468.188,401.157,634.693,869.079,32.0797,532.45,1.137,382.124,215.048,85.197,24.493,0.17,,,,Cc1cccc2nc3ccccc3cc12 at 298K
