index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
228,C=CC(=O)OCC,100.11699999999996,294.044,193.928,376.807,550.661,38.6307,324.06,0.927,-239.817,-344.745,33.22,13.44,0.108,,,,C=CC(=O)OCC at 298K
229,C=CC=O,56.064000000000014,159.266,0.0,0.0,300.414,55.3303,71.45,2.076,16.689,63.315,15.234,1.352,0.027,,,,C=CC=O at 298K
230,C=CC(=O)O,72.06299999999999,348.244,322.211,421.968,644.073,53.801,214.35,1.015,-267.643,-323.228,25.098,12.783,0.071,,,,C=CC(=O)O at 298K
231,BrCc1ccccc1,171.03700000000003,372.662,245.325,468.239,711.059,43.3344,377.51,1.462,130.573,65.822,49.722,12.928,0.117,,,,BrCc1ccccc1 at 298K
232,NCc1ccccc1,107.15599999999993,347.625,269.094,456.814,683.496,42.9948,373.0,1.011,171.227,104.07,60.966,13.404,0.106,,,,NCc1ccccc1 at 298K
233,CCOCc1ccccc1,136.19400000000005,334.217,234.255,458.467,661.576,30.8818,442.02,0.966,33.305,-115.0,50.35,15.006,0.141,,,,CCOCc1ccccc1 at 298K
234,OCc1ccccc1,108.13999999999994,360.243,279.48,470.606,671.109,45.7674,331.22,1.081,-14.019,-102.75,63.886,12.381,0.1,,,,OCc1ccccc1 at 298K
235,N#CCc1ccccc1,117.15099999999994,364.196,272.106,489.748,731.967,36.2108,390.99,1.046,286.608,216.1,61.036,13.356,0.112,,,,N#CCc1ccccc1 at 298K
236,O=CCc1ccccc1,120.15099999999994,340.84,304.567,473.237,678.635,39.508,377.04,1.082,31.838,-53.394,52.713,18.001,0.111,,,,O=CCc1ccccc1 at 298K
237,SCc1ccccc1,124.20799999999994,268.308,243.073,467.645,711.985,40.4669,367.0,1.08,163.127,93.14,50.994,14.6,0.115,,,,SCc1ccccc1 at 298K
238,O=C(O)Cc1ccccc1,136.15000000000006,396.573,349.883,529.504,765.958,39.3597,397.21,0.952,-210.173,-320.615,55.051,18.506,0.143,,,,O=C(O)Cc1ccccc1 at 298K
239,CC(=O)Cc1ccccc1,134.17800000000003,344.87,265.744,487.827,690.929,33.6973,442.92,1.032,8.73,-106.391,54.833,14.93,0.13,,,,CC(=O)Cc1ccccc1 at 298K
240,CSCc1ccccc1,138.23500000000007,324.195,241.598,472.172,692.261,35.7799,436.26,1.055,164.296,71.98,54.204,14.957,0.131,,,,CSCc1ccccc1 at 298K
241,O=COCc1ccccc1,136.15000000000006,335.176,266.349,476.141,697.992,35.7799,397.0,1.116,-143.502,-249.3,55.404,15.65,0.122,,,,O=COCc1ccccc1 at 298K
242,O=[N+]([O-])Cc1ccccc1,137.13800000000006,393.345,271.198,499.143,728.167,41.8368,318.34,1.214,152.085,28.033,66.121,13.709,0.113,,,,O=[N+]([O-])Cc1ccccc1 at 298K
243,NC(=O)Cc1ccccc1,135.16600000000005,268.308,405.742,554.774,828.356,43.1641,454.77,1.229,4.83,-124.315,39.915,24.199,0.11,,,,NC(=O)Cc1ccccc1 at 298K
244,CC(=O)OCc1ccccc1,150.17700000000008,375.001,239.588,480.009,698.994,31.7202,449.0,1.043,-174.837,-309.16,60.08,14.979,0.144,,,,CC(=O)OCc1ccccc1 at 298K
245,COC(=O)Cc1ccccc1,150.17700000000008,359.39,251.807,481.623,685.318,32.3717,462.2,1.08,-145.381,-278.851,58.372,19.123,0.139,,,,COC(=O)Cc1ccccc1 at 298K
